"Clubs","Rang","Pts","J.","G.","N.","P.","Bonus","Pts.M","Pts.E","Diff.","#","Matchs","Total ballons joués","Plaquages défensifs réussis","Plaquages offensifs réussis","Plaquages réussis (%)","Plaquages manqués","Plaquages manqués (%)","Plaquages totaux","Ballons joués au pied","Ballons joués au pied (%)","Ballons joués à la main","Ballons joués à la main (%)","Total passes","Total passes turnover","Saison","plaq_off_p_match","pts_enc_p_match","pts_marq_p_match"
"ASM Clermont",2,75,26,16,1,9,9,630,464,166,10,28,7210,3308,85,87,487,13,3880,551,8,6659,92,3898,334,"2015",3.03571428571429,17.8461538461538,24.2307692307692
"Aviron Bayonnais",13,52,26,10,1,15,10,522,548,0,1,26,5236,3799,40,90,423,10,4262,556,11,4680,89,2616,285,"2015",1.53846153846154,21.0769230769231,20.0769230769231
"CA Brive",10,53,26,12,0,14,5,502,619,0,9,26,5495,3297,29,87,484,13,3810,491,9,5004,91,2703,309,"2015",1.11538461538462,23.8076923076923,19.3076923076923
"Castres Olympique",12,52,26,11,0,15,8,509,627,0,5,26,5334,3221,47,89,389,11,3657,543,10,4791,90,2750,271,"2015",1.80769230769231,24.1153846153846,19.5769230769231
"FC Grenoble Rugby",11,53,26,11,0,15,9,626,735,0,11,26,6009,3415,60,87,513,13,3988,531,9,5478,91,3306,322,"2015",2.30769230769231,28.2692307692308,24.0769230769231
"LOU Rugby",14,41,26,8,1,17,7,469,630,0,14,26,5822,3065,39,87,446,13,3550,567,10,5255,90,2970,306,"2015",1.5,24.2307692307692,18.0384615384615
"Montpellier Hérault Rugby",8,55,26,11,2,13,7,537,516,21,6,26,5623,3054,62,89,380,11,3496,504,9,5119,91,2696,332,"2015",2.38461538461538,19.8461538461538,20.6538461538462
"Oyonnax Rugby",6,62,26,14,0,12,6,514,507,7,12,27,5439,3487,46,87,514,13,4047,627,12,4812,88,2550,338,"2015",1.7037037037037,19.5,19.7692307692308
"Racing 92",5,65,26,13,3,10,7,551,497,54,8,27,6235,3405,27,88,452,12,3884,520,8,5715,92,3303,327,"2015",1,19.1153846153846,21.1923076923077
"RC Toulon",1,76,26,16,0,10,12,740,525,215,3,27,6813,3369,73,89,447,11,3889,482,7,6331,93,3755,347,"2015",2.7037037037037,20.1923076923077,28.4615384615385
"Stade Français Paris",4,70,26,15,1,10,8,591,576,15,7,29,6112,3328,40,89,427,11,3795,520,9,5592,91,3243,372,"2015",1.37931034482759,22.1538461538462,22.7307692307692
"Stade Rochelais",9,54,26,10,5,11,4,520,659,0,4,26,5565,3115,57,89,411,11,3583,543,10,5022,90,2791,292,"2015",2.19230769230769,25.3461538461538,20
"Stade Toulousain",3,70,26,16,0,10,6,573,504,69,2,28,6451,3444,82,90,375,10,3901,491,8,5960,92,3480,328,"2015",2.92857142857143,19.3846153846154,22.0384615384615
"Union Bordeaux-Bègles",7,61,26,12,0,14,13,701,578,123,13,26,5583,3176,55,87,487,13,3718,541,10,5042,90,3041,346,"2015",2.11538461538462,22.2307692307692,26.9615384615385
"ASM Clermont",1,88,26,18,1,7,14,735,431,304,13,26,6493,3345,141,86,488,12,4044,533,8,5960,92,3702,328,"2016",5.42307692307692,16.5769230769231,28.2692307692308
"CA Brive",8,62,26,13,1,12,8,540,545,-5,11,25,4704,2779,145,87,389,12,3367,456,10,4248,90,2343,306,"2016",5.8,20.9615384615385,20.7692307692308
"Castres Olympique",6,71,26,15,0,11,11,650,496,154,6,26,4996,3410,161,88,438,11,4069,458,9,4538,91,2657,293,"2016",6.19230769230769,19.0769230769231,25
"FC Grenoble Rugby",10,47,26,10,0,16,7,605,779,-174,12,25,5750,3097,185,86,463,12,3807,413,7,5337,93,3239,295,"2016",7.4,29.9615384615385,23.2692307692308
"Montpellier Hérault Rugby",3,81,26,18,0,8,9,723,569,154,1,27,4996,3325,120,89,372,10,3885,562,11,4434,89,2469,292,"2016",4.44444444444444,21.8846153846154,27.8076923076923
"Oyonnax Rugby",14,24,26,5,0,21,4,429,847,-418,14,25,5193,3277,121,86,484,12,3956,516,10,4677,90,2788,315,"2016",4.84,32.5769230769231,16.5
"Racing 92",4,81,26,18,1,7,7,614,522,92,4,28,6625,3359,169,88,427,11,4015,485,7,6140,93,3672,338,"2016",6.03571428571429,20.0769230769231,23.6153846153846
"RC Toulon",2,82,26,16,0,10,18,764,446,318,2,27,6450,2933,143,88,326,9,3480,499,8,5951,92,3755,346,"2016",5.2962962962963,17.1538461538462,29.3846153846154
"Section Paloise",11,46,26,10,1,15,4,420,675,-255,8,25,5309,3442,93,87,457,11,4059,478,9,4831,91,3033,265,"2016",3.72,25.9615384615385,16.1538461538462
"Stade Français Paris",12,41,26,9,0,17,5,543,631,-88,3,25,5389,3191,144,88,379,10,3791,485,9,4904,91,3025,317,"2016",5.76,24.2692307692308,20.8846153846154
"Stade Rochelais",9,54,26,11,0,15,10,553,656,-103,7,25,5264,2689,141,87,327,10,3246,474,9,4790,91,2727,282,"2016",5.64,25.2307692307692,21.2692307692308
"Stade Toulousain",5,79,26,16,2,8,11,680,393,287,10,26,6454,2630,147,87,295,9,3181,463,7,5991,93,3691,312,"2016",5.65384615384615,15.1153846153846,26.1538461538462
"SU Agen",13,26,26,5,0,21,6,531,846,-315,9,25,5436,3377,111,87,461,11,4024,382,7,5054,93,2770,318,"2016",4.44,32.5384615384615,20.4230769230769
"Union Bordeaux-Bègles",7,67,26,14,2,10,7,552,503,49,5,25,5445,3188,132,88,400,11,3785,547,10,4898,90,3038,299,"2016",5.28,19.3461538461538,21.2307692307692
"ASM Clermont",2,78,26,15,3,8,12,800,562,238,12,28,6379,3666,257,84,619,13,4649,508,8,5871,92,3568,334,"2017",9.17857142857143,21.6153846153846,30.7692307692308
"Aviron Bayonnais",14,30,26,6,3,17,0,466,905,-439,13,25,5459,3137,115,84,520,13,3867,415,8,5044,92,3031,266,"2017",4.6,34.8076923076923,17.9230769230769
"CA Brive",8,58,26,13,1,12,4,577,634,-57,14,26,5303,2941,168,84,530,14,3708,499,9,4804,91,2723,230,"2017",6.46153846153846,24.3846153846154,22.1923076923077
"Castres Olympique",5,63,26,13,1,12,9,667,509,158,9,26,5680,3358,185,86,516,12,4143,497,9,5183,91,2980,323,"2017",7.11538461538461,19.5769230769231,25.6538461538462
