Rang,Equipe,Pts,J.,G.,N.,P.,Bonus,Pts.M,Pts.E,Diff.
1,Stade Rochelais,85,26,17,3,6,11,707,498,209
2,ASM Clermont,78,26,15,3,8,12,800,562,238
3,Montpellier Hérault Rugby,76,26,16,0,10,12,750,564,186
4,RC Toulon,69,26,14,2,10,9,674,511,163
5,Castres Olympique,63,26,13,1,12,9,667,509,158
6,Racing 92,62,26,14,1,11,4,586,616,-30
7,Stade Français Paris,59,26,12,1,13,9,643,638,5
8,CA Brive,58,26,13,1,12,4,577,634,-57
9,Section Paloise,57,26,12,1,13,7,604,701,-97
10,LOU Rugby,55,26,11,2,13,7,573,632,-59
11,Union Bordeaux-Bègles,54,26,11,1,14,8,569,581,-12
12,Stade Toulousain,53,26,11,0,15,9,537,561,-24
13,FC Grenoble Rugby,38,26,7,1,18,8,611,852,-241
14,Aviron Bayonnais,30,26,6,3,17,0,466,905,-439
