#,Clubs,Matchs,Total ballons joués,Plaquages défensifs réussis,Plaquages offensifs réussis,Plaquages réussis (%),Plaquages manqués,Plaquages manqués (%),Plaquages totaux,Ballons joués au pied,Ballons joués au pied (%),Ballons joués à la main,Ballons joués à la main (%),Total passes,Total passes turnover
1,Stade Français Paris,25,5599,3390,237,89,387,9,4090,513,9,5086,91,3116,232
2,Union Bordeaux-Bègles,26,6254,3821,124,89,438,10,4455,453,7,5801,93,3497,253
3,Montpellier Hérault Rugby,26,5309,3495,143,88,417,10,4117,507,10,4802,90,2762,289
4,RC Toulon,29,7205,3604,236,87,473,11,4391,562,8,6643,92,3954,305
5,Racing 92,26,6250,3448,128,87,469,11,4112,462,7,5788,93,3387,264
6,Stade Rochelais,27,6692,3148,199,87,421,11,3838,456,7,6236,93,3615,241
7,Stade Toulousain,26,6781,2801,148,87,348,10,3373,453,7,6328,93,3848,272
8,LOU Rugby,25,5359,3095,160,87,423,11,3738,444,8,4915,92,2859,227
9,Castres Olympique,26,5680,3358,185,86,516,12,4143,497,9,5183,91,2980,323
10,Section Paloise,25,6340,3065,117,86,461,12,3692,377,6,5963,94,3700,246
11,FC Grenoble Rugby,26,6082,3548,140,86,526,12,4294,410,7,5672,93,3571,258
12,ASM Clermont,28,6379,3666,257,84,619,13,4649,508,8,5871,92,3568,334
13,Aviron Bayonnais,25,5459,3137,115,84,520,13,3867,415,8,5044,92,3031,266
14,CA Brive,26,5303,2941,168,84,530,14,3708,499,9,4804,91,2723,230
